,CV,TL,AL,TWC,AWC,TSC,ASC,TALRATIO,TAWCRATIO,TASCRATIO,TP,AP,TAPD,TAPMEAN,TS,AS,TASD,TASMEAN,TSCCRATIO,ASCCRATIO,TASCCRATIO,TASCCD,TKWC,AKWC,TAKWCRATIO,AMIKWP,TMIKWS,AMIKWS,AFSP,TAFSPMEAN,TAFSPD,AFSS,TAFSSMEAN,TAFSSD,TMIKWAORATIO,TKWAORATIO,TKWAOWRATIO,TKWPMEAN,AKWPMEAN,TAKWPMEAN,TAKWPD,TKWPWMEAN,AKWPWMEAN,TAKWPWMEAN,TAKWPWD,TAMIKWFP,TAMIKWDIST,TAKWDIST,TASIMSPACY,TABSSIMSPACY,TAWSSIMSPACY,TAASSIMSPACY,TAFSSIMSPACY,TABSSIMPSPACY,TAWSSIMPSPACY,TAGSSIMRATIOSPACY,TVC,AVC,TAVCD,TNC,ANC,TANCD,TABSSIMBERT,TAWSSIMBERT,TAASSIMSBERT,TAFSSIMBERT,TABSSIMPBERT,TAWSSIMPBERT,TAGSSIMRATIOBERT,TAMIKWASSIMSPACY,TAMIKWBSSIMSPACY,TAMIKWWSSIMSPACY,TMIKWP,TAMKWSSIMSPACY,TAMKWSP,TAMKWSPD,TAMKWSS,TAMKWSSD,TAMKWFP,TAKWSIMSPACY,TAKWSP,TAKWSPD,TAKWSS,TAKWSSD,TAKWSIMVARSPACY,TAGSSIMDISTSPACY
0,4.5,68,1537,12,303,1,16,0.04424202992843201,0.039603960396039604,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323529411764706,0.18998048145738453,0.6966659951651893,0.057627540280913936,0.5,0.066006600660066,7.575000000000001,0.0,0.0,0.0,0.17500000000000002,0.08750000000000001,0.17500000000000002,0.24666666666666667,0.12333333333333334,0.24666666666666667,0.005681818181818182,-1.3704514044224498,-2.219852660016142,0.0,0.05,0.025,0.05,0.0,0.009144963332284553,0.0045724816661422765,0.009144963332284553,0.20738636363636365,-0.5470085470085471,-0.39449192782526116,0.7404644669264251,0.8167323615406343,0.47628063272554677,0.6386273340376531,0.8167323615406343,0.0625,0.5,0.0,0.15384615384615385,0.15625,0.0024038461538461453,0.07692307692307693,0.14772727272727273,0.07080419580419581,0.855155,0.64692736,0.7513038441538811,0.855155,0.0625,0.8125,0.25,0.0850572753078606,0.7511158415586169,0.6098005633671534,0.0,0.6386273340376531,0.1259176587301587,0.1259176587301587,0.2583482142857143,0.2583482142857143,0.0,0,0,0.0,0,0.0,0,-1.5333333333333334
1,3.0,64,3753,10,619,1,19,0.01705302424726885,0.01615508885298869,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1561417532640554,0.8005546075085325,0.03114175326405541,0.6,0.03231017770597738,18.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01862464183381089,-1.3524937287888883,-2.156249922951114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008595988538681949,-0.07515726740977817,-0.2384875271902624,0.8695344264106478,0.8682727576193763,0.45363752225846643,0.7674057656182893,0.8682727576193763,0.05263157894736842,0.7368421052631579,0.0,0.2727272727272727,0.1346704871060172,-0.1380567856212555,0.36363636363636365,0.1504297994269341,-0.21320656420942954,0.8766562,0.60660833,0.8170254952029178,0.8766562,0.0526315789473684,0.7368421052631579,0.7894736842105263,0.4655483564169223,0.8682727576193763,0.7493735321944096,0.0,0.7674057656182893,-0.0169169767853978,-0.0169169767853978,0.1642322346269714,0.1642322346269714,0.0,0,0,0.0,0,0.0,0,-0.4444444444444444
2,4.5,47,686,8,121,1,7,0.06851311953352769,0.06611570247933884,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14893617021276595,0.16034985422740525,0.9288201160541586,0.011413684014639297,0.625,0.1652892561983471,3.78125,0.0,0.0,0.0,-0.14285714285714285,-0.07142857142857142,-0.14285714285714285,0.20357142857142857,0.10178571428571428,0.20357142857142857,0.022556390977443608,-1.278753600952829,-2.2252776934847787,0.0,-0.02857142857142857,-0.014285714285714285,-0.02857142857142857,0.0,-0.005081377278730771,-0.0025406886393653854,-0.005081377278730771,0.015037593984962405,-0.0808080808080808,-0.3917748917748918,0.6541810315117544,0.7434681024608069,0.41181953270243254,0.5473541301128061,0.7434681024608069,0.14285714285714285,0.8571428571428571,0.0,0.1111111111111111,0.14285714285714285,0.031746031746031744,0.0,0.13533834586466165,0.13533834586466165,0.87130445,0.73293835,0.777569660118648,0.87130445,0.1428571428571428,0.4285714285714285,0.2857142857142857,0.2604398025271991,0.7434681024608069,0.5211391859247636,0.0,0.5473541301128061,0.0204081632653061,0.0204081632653061,0.2329931972789115,0.2329931972789115,0.0,0,0,0.0,0,0.0,0,-1.0
3,3.5,73,2788,16,504,1,22,0.02618364418938307,0.031746031746031744,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643835616438356,0.1639167862266858,1.0028476364617367,-0.0004667754171498173,0.5,0.03968253968253968,12.600000000000001,0.0,0.0,0.0,0.35,0.175,0.35,0.55,0.275,0.55,0.0,-1.0134614353507605,-1.5426456208210808,0.0,0.0016666666666666666,0.0008333333333333333,0.0016666666666666666,0.0,0.00012952171687300533,6.476085843650266e-05,0.00012952171687300533,1.0,0.0,-0.16040500932587265,0.8283597907906485,0.8682322947539606,0.3695761787750258,0.7156679170178419,0.8329284180376793,0.09090909090909091,0.9545454545454546,0.0,0.125,0.13644524236983843,0.011445242369838432,0.125,0.11490125673249552,-0.010098743267504484,0.87745285,0.56523836,0.8003803816708651,0.8668903,0.0909090909090909,0.9545454545454546,0.5454545454545454,0.0,0.8,0.7,0.0,0.7156679170178419,0.0545686456400742,0.0545686456400742,0.2371206967635539,0.2371206967635539,0.0,0,0,0.0,0,0.0,0,-4.047619047619048
4,3.0,67,730,12,130,1,5,0.09178082191780822,0.09230769230769231,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13432835820895522,0.17671232876712328,0.7601527247483513,0.04238397055816806,0.5833333333333334,0.15384615384615385,3.7916666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013422818791946308,-1.1317935832540489,-1.9439631474221126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436241610738255,0.21621621621621623,-0.14496314496314494,0.760535909250291,0.7974060105870826,0.5544237637055226,0.6850358763346409,0.7974060105870826,0.2,0.4,0.0,0.08333333333333333,0.10738255033557047,0.02404921700223714,0.08333333333333333,0.174496644295302,0.09116331096196868,0.87985253,0.80318725,0.8323201537132263,0.87985253,0.2,0.8,1.0,0.2536208012667108,0.7136802426280314,0.5544237637055226,0.0,0.6850358763346409,-0.1366666666666666,-0.1366666666666666,0.2808333333333333,0.2808333333333333,0.0,0,0,0.0,0,0.0,0,-0.5
5,3.5,88,4333,15,730,1,29,0.020309254558042927,0.02054794520547945,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.15255019616893606,0.8194024205748867,0.02755019616893606,0.5333333333333333,0.0273972602739726,19.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012547051442910916,-1.0038312301056709,-1.7597966227627586,0.0,-0.005,-0.0025,-0.005,0.0,-0.0007157168586558813,-0.00035785842932794067,-0.0007157168586558813,0.04265997490589712,-0.24020100502512562,-0.07146491953438076,0.8608105703668935,0.875529553711238,0.3506272328014235,0.7375664730499945,0.8755295513297751,0.4827586206896552,1.0,0.0,0.1875,0.11794228356336262,-0.06955771643663738,0.25,0.1932245922208281,-0.056775407779171894,0.90442216,0.6903429,0.849373079579452,0.90442216,0.0344827586206896,1.0,0.9655172413793104,0.2674086234924515,0.875529553711238,0.6881100345240111,0.0,0.7375664730499945,0.0054597701149425,0.0054597701149425,0.2241379310344827,0.2241379310344827,0.0,0,0,0.0,0,0.0,0,-0.7857142857142857
6,3.0,71,552,13,94,2,4,0.1286231884057971,0.13829787234042554,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15492957746478872,0.16485507246376813,0.9397926017644326,0.009925494998979406,0.46153846153846156,0.2127659574468085,2.1692307692307695,0.0,0.0,0.0,0.06517857142857142,0.03258928571428571,0.06517857142857142,0.4089285714285714,0.2044642857142857,0.4089285714285714,0.0,-1.3222192947339193,-1.8071111632233474,0.0,0.017499999999999998,0.008749999999999999,0.017499999999999998,0.0,0.0018287969993119838,0.0009143984996559919,0.0018287969993119838,1.0,0.0,-0.26153846153846155,0.8649065487150766,0.8948971586184109,0.5539671345936662,0.7165916008102777,0.8948971586184109,0.25,1.0,0.0,0.14285714285714285,0.12380952380952381,-0.019047619047619035,0.14285714285714285,0.13333333333333333,-0.009523809523809518,0.9036534,0.69140804,0.7854688912630081,0.9036534,0.25,0.75,0.5,0.0,0.8,0.7,0.0,0.7165916008102777,0.0856398809523809,0.0856398809523809,0.3097718253968253,0.3097718253968253,0.0,0,0,0.0,0,0.0,0,-1.3333333333333333
7,4.0,100,3254,19,531,1,21,0.03073140749846343,0.035781544256120526,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14751075599262448,0.9490833333333334,0.007510755992624463,0.42105263157894735,0.03766478342749529,11.178947368421053,0.0,0.0,0.0,-0.18787878787878787,-0.09393939393939393,-0.18787878787878787,0.5181818181818182,0.2590909090909091,0.5181818181818182,0.005190311418685121,-1.585836579364848,-2.190845680855861,-0.08749999999999998,-0.03,-0.05874999999999999,0.05749999999999998,-0.02601948847401881,-0.0012306295981712855,-0.013625059036095049,0.024788858875847523,0.01384083044982699,-0.6683997689196997,-0.3945696129404968,0.8612886893902166,0.855290371169383,0.4777929691512363,0.7657226921223073,0.8098224400226414,0.23809523809523808,1.0,0.0,0.16666666666666666,0.12629757785467127,-0.040369088811995385,0.2222222222222222,0.22145328719723184,-0.0007689350249903693,0.89016783,0.6721402,0.8403895724387396,0.8771405,0.5714285714285714,1.0,0.9523809523809524,0.0386905144749422,0.8125008039737875,0.8125008039737875,0.0,0.7657226921223073,0.0108003504432075,0.0108003504432075,0.5953813646670789,0.5953813646670789,0.0,0,0,0.0,0,0.0,0,-1.0
8,5.0,59,4137,9,685,1,30,0.014261542180323905,0.013138686131386862,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,0.16146966400773508,0.7347762102912818,0.0428255962111249,0.7777777777777778,0.029197080291970802,26.63888888888889,0.0,0.0,0.0,0.13636363636363635,0.06818181818181818,0.13636363636363635,0.45454545454545453,0.22727272727272727,0.45454545454545453,0.00749063670411985,-1.4722687519252504,-2.139898208210402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003745318352059925,-0.10708333333333334,-0.2961111111111111,0.760036963407063,0.7920807940881911,0.2628922338186668,0.6062032949134302,0.7825041380677679,0.06666666666666667,1.0,0.0,0.09090909090909091,0.10237203495630462,0.011462944047213708,0.2727272727272727,0.1797752808988764,-0.09295199182839631,0.849585,0.6323351,0.7616542855898539,0.7945072,0.1,0.9666666666666668,0.2333333333333333,0.1298982138238639,0.7825041380677679,0.4750025370114781,0.0,0.6062032949134302,0.0694297138047138,0.0694297138047138,0.2335311447811447,0.2335311447811447,0.0,0,0,0.0,0,0.0,0,-2.6206896551724137
9,3.0,69,1223,12,198,1,8,0.056418642681929684,0.06060606060606061,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14492753623188406,0.16271463614063778,0.8906853106110262,0.017787099908753712,0.6666666666666666,0.10101010101010101,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043859649122807015,-1.153814864344529,-2.004283471569343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37280701754385964,-0.2599118942731278,-0.21640969162995594,0.7121718512019419,0.7924029751728578,0.49884087132500327,0.6341102987210936,0.7924029751728578,0.125,0.75,0.0,0.16666666666666666,0.14912280701754385,-0.017543859649122806,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.92851174,0.80689985,0.872092567384243,0.92851174,0.125,0.75,1.0,0.0890700162037419,0.7125601296299354,0.7125601296299354,0.0,0.6341102987210936,-0.0756944444444444,-0.0756944444444444,0.2944444444444444,0.2944444444444444,0.0,0,0,0.0,0,0.0,0,-2.2857142857142856
